timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
,,,,,,,,
21-06-2023,30.86,30.86,30.86,30.86,30.86,0,0,1
,,,,,,,,
20-06-2023,31.27,31.27,31.27,31.27,31.27,0,0,1
,,,,,,,,
16-06-2023,31.3,31.3,31.3,31.3,31.3,0,0,1
,,,,,,,,
15-06-2023,31.51,31.51,31.51,31.51,31.51,0,0,1
,,,,,,,,
14-06-2023,31.14,31.14,31.14,31.14,31.14,0,0,1
,,,,,,,,
13-06-2023,30.92,30.92,30.92,30.92,30.92,0,0,1
,,,,,,,,
12-06-2023,30.67,30.67,30.67,30.67,30.67,0,0,1
,,,,,,,,
09-06-2023,30.15,30.15,30.15,30.15,30.15,0,0,1
,,,,,,,,
08-06-2023,30.06,30.06,30.06,30.06,30.06,0,0,1
,,,,,,,,
07-06-2023,29.68,29.68,29.68,29.68,29.68,0,0,1
,,,,,,,,
06-06-2023,30.2,30.2,30.2,30.2,30.2,0,0,1
,,,,,,,,
05-06-2023,30.2,30.2,30.2,30.2,30.2,0,0,1
,,,,,,,,
02-06-2023,30.18,30.18,30.18,30.18,30.18,0,0,1
,,,,,,,,
01-06-2023,29.96,29.96,29.96,29.96,29.96,0,0,1
,,,,,,,,
31-05-2023,29.57,29.57,29.57,29.57,29.57,0,0,1
,,,,,,,,
30-05-2023,29.78,29.78,29.78,29.78,29.78,0,0,1
,,,,,,,,
26-05-2023,29.66,29.66,29.66,29.66,29.66,0,0,1
,,,,,,,,
25-05-2023,28.92,28.92,28.92,28.92,28.92,0,0,1
,,,,,,,,
24-05-2023,28.23,28.23,28.23,28.23,28.23,0,0,1
,,,,,,,,
23-05-2023,28.37,28.37,28.37,28.37,28.37,0,0,1
,,,,,,,,
22-05-2023,28.74,28.74,28.74,28.74,28.74,0,0,1
,,,,,,,,
19-05-2023,28.64,28.64,28.64,28.64,28.64,0,0,1
,,,,,,,,
18-05-2023,28.71,28.71,28.71,28.71,28.71,0,0,1
,,,,,,,,
17-05-2023,28.2,28.2,28.2,28.2,28.2,0,0,1
,,,,,,,,
16-05-2023,27.85,27.85,27.85,27.85,27.85,0,0,1
,,,,,,,,
15-05-2023,27.82,27.82,27.82,27.82,27.82,0,0,1
,,,,,,,,
12-05-2023,27.67,27.67,27.67,27.67,27.67,0,0,1
,,,,,,,,
